level,eigen_average_tm,eigen_average_gdt,gen_average_tm,gen_average_gdt,hh_average_tm,hh_average_gdt
t1,0.48,0.3,0.37,0.26,0.48,0.44
t2,0.47,0.29,0.37,0.26,0.5,0.5
t5,0.47,0.29,0.37,0.26,0.5,0.55
t10,0.46,0.28,0.36,0.24,0.51,0.49
