level,eigen_average_tm,eigen_average_gdt,gen_average_tm,gen_average_gdt,hh_average_tm,hh_average_gdt
t1,0.23,0.04,0.16,0.04,0.25,0.11
t2,0.24,0.05,0.19,0.03,0.28,0.15
t5,0.25,0.06,0.21,0.06,0.3,0.2
t10,0.27,0.07,0.23,0.07,0.31,0.26
