top,vectors,class,fold,superf,family
1,eigentop,0.887,0.667,0.0,0.0
1,genthtop,0.7,0.313,0.0,0.0
1,hhtop,0.907,0.867,0.0,0.0
2,eigentop,0.933,0.713,0.0,0.0
2,genthtop,0.8,0.367,0.0,0.0
2,hhtop,0.907,0.873,0.0,0.0
5,eigentop,0.96,0.76,0.0,0.0
5,genthtop,0.907,0.427,0.0,0.0
5,hhtop,0.913,0.873,0.0,0.0
10,eigentop,0.98,0.78,0.0,0.0
10,genthtop,0.967,0.473,0.0,0.0
10,hhtop,0.913,0.873,0.0,0.0
