level,eigen_average_tm,eigen_average_gdt,gen_average_tm,gen_average_gdt,hh_average_tm,hh_average_gdt
t1,0.44,33.89,0.43,38.36,-,-
t2,0.44,33.3,0.4,35.44,-,-
t5,0.43,32.83,0.39,33.98,-,-
t10,0.43,31.85,0.38,32.4,0.69,66.95
